date,min,max,mean,median,std
2022-01-01,0,0.546,0.28655537887035987,0.309,0.18398272209287553
2022-01-02,0,0.547,0.2876864795785781,0.311,0.1843638270186771
2022-01-03,0,0.548,0.287172119773828,0.313,0.1855734096304185
2022-01-04,0,0.55,0.28169196219290316,0.313,0.18895042168625903
2022-01-05,0,0.552,0.2754056514177737,0.313,0.1924400864189081
2022-01-06,0,0.553,0.27369506466569044,0.313,0.1941159460195544
2022-01-07,0,0.555,0.2699685090281965,0.311,0.1964186710035099
2022-01-08,0,0.557,0.2714216587654998,0.313,0.1969890732384769
2022-01-09,0,0.559,0.2729925907306847,0.315,0.19753537455229922
2022-01-10,0,0.561,0.2746353333971441,0.317,0.19809135879000014
2022-01-11,0,0.564,0.27634213643105154,0.319,0.19868235574798596
2022-01-12,0,0.566,0.27809649720758245,0.322,0.19932014427347164
2022-01-13,0,0.569,0.2799108671224389,0.324,0.1999852928613219
2022-01-14,0,0.571,0.2817652565052176,0.326,0.20069420025975723
2022-01-15,0,0.574,0.28366236037901127,0.329,0.20143802293338584
2022-01-16,0,0.576,0.2855580560310152,0.331,0.2022378229351754
2022-01-17,0,0.579,0.2873871482690389,0.335,0.20311875459475012
2022-01-18,0,0.582,0.2893813658164998,0.338,0.20398801931977506
2022-01-19,0,0.585,0.2913711397189991,0.341,0.2049174465899142
2022-01-20,0,0.588,0.2934322301048117,0.344,0.20586713916163507
